trial_number,is_choice_alternative_1,reward_alternative_1,reward_alternative_2
0, true,1,0
1, true,1,0
2, true,1,0
3, true,0,0
4, true,0,0
5, false,0,0
6, true,0,0
7, true,0,0
8, false,0,0
9, false,0,0
10, true,1,0
11, true,1,0
12, true,0,0
13, true,0,0
14, false,0,0
15, false,1,0
16, true,0,0
17, true,0,0
18, true,0,0
19, true,0,0
20, true,0,0
21, false,1,0
22, false,0,0
23, false,0,0
24, true,0,0
25, true,0,0
26, true,1,0
27, true,0,0
28, true,0,0
29, false,0,0
30, true,0,0
31, false,0,0
32, true,1,0
33, true,1,0
34, true,1,0
35, false,0,0
36, true,0,0
37, true,0,0
38, false,0,0
39, true,0,0
40, true,1,0
41, true,0,0
42, true,0,0
43, false,1,0
44, true,1,0
45, true,1,0
46, true,0,0
47, true,1,0
48, true,0,0
49, true,0,0
50, true,0,0
51, true,1,0
52, true,0,0
53, true,0,0
54, false,1,0
55, false,0,0
56, true,1,0
57, true,0,0
58, true,1,0
59, true,1,0
60, true,0,0
61, true,1,0
62, true,0,0
63, true,0,0
64, true,1,0
65, true,0,0
66, true,0,0
67, true,0,0
68, true,0,0
69, true,0,0
70, true,1,0
71, true,0,0
72, true,1,0
73, true,0,0
74, true,0,0
75, true,0,1
76, true,0,1
77, true,0,1
78, true,0,1
79, true,0,1
80, true,0,1
81, true,0,1
82, false,0,1
83, false,0,1
84, false,0,1
85, false,0,1
86, false,0,1
87, false,0,1
88, false,0,1
89, false,0,1
90, false,0,1
91, false,0,1
92, false,0,1
93, false,0,1
94, false,0,1
95, false,0,1
96, false,0,1
97, false,0,1
98, false,0,1
99, false,0,1
